id,sentence_A,sentence_B,relatedness
6373,A young child is wearing a white coat and playing a game,The child is playing with toys indoors,3
6374,A young child is wearing a white coat and playing a game,The child is playing with toys outdoors,2.8
6375,The man is wearing a wetsuit and is riding a surfboard,The person is wearing a wetsuit and is riding a surfboard,4.5
6376,The man is wearing a wetsuit and is riding a surfboard,The man is lying naked near a surfboard,2.9
6377,A surfer is leaning on a surfboard,The surfer is leaning on a surfboard,5
6378,A surfer is leaning on a surfboard,There is no surfer leaning on a surfboard,4.1
6379,A surfer is leaning the surfboard against a wall,A surfer is leaning on a surfboard,3.5
6380,The surfer is leaning on a surfboard,The man is wearing a wetsuit and is riding a surfboard,2.9
6381,There is no surfer leaning on a surfboard,The man is wearing a wetsuit and is riding a surfboard,3
6382,A surfer is leaning the surfboard against a wall,The man is wearing a wetsuit and is riding a surfboard,2.6
6383,A surfer is leaning on a surfboard,The person is wearing a wetsuit and is riding a surfboard,2.985
6384,The man is lying naked near a surfboard,A surfer is leaning on a surfboard,2.6
6385,The man is wearing a wetsuit and is riding a surfboard,A surfer is leaning on a surfboard,3.4
6386,A waterfall is flowing calmly into a shallow pool,A waterfall is flowing into a shallow pool,4.5
6387,A waterfall is flowing out of a shallow pool,A waterfall is flowing into a shallow pool,3.5
6388,The people are walking on the road beside a beautiful waterfall,"The people are walking on the road beside a waterfall, which is beautiful",4.9
6389,The people are walking on the road beside a beautiful waterfall,The people are not walking on the road beside a beautiful waterfall,3
6390,A waterfall is flowing into a shallow pool,"The people are walking on the road beside a waterfall, which is beautiful",2.5
6391,A waterfall is flowing into a shallow pool,The people are not walking on the road beside a beautiful waterfall,2
6392,The people are walking on the road beside a beautiful waterfall,A waterfall is flowing calmly into a shallow pool,2.7
6393,A waterfall is flowing out of a shallow pool,The people are walking on the road beside a beautiful waterfall,2.7
6394,A waterfall is flowing into a shallow pool,The people are walking on the road beside a beautiful waterfall,2.3
6395,A dog is herding a group of white sheep on a dusty farm,A dog is herding a pack of white sheep on a dusty farm,5
6396,A dog is scattering a pack of white sheep on a dusty farm,A dog is herding a pack of white sheep on a dusty farm,3.8
6397,A sheepdog is grouping a herd of sheep,The sheepdog is grouping a herd of sheep,5
6398,A sheepdog is dispersing a herd of sheep,A sheepdog is grouping a herd of sheep,4
6399,The sheepdog is grouping a herd of sheep,A dog is herding a pack of white sheep on a dusty farm,4.2
6400,A dog is herding a pack of white sheep on a dusty farm,A sheepdog is dispersing a herd of sheep,4.4
6401,A sheepdog is grouping a herd of sheep,A dog is herding a group of white sheep on a dusty farm,3.8
6402,A sheepdog is grouping a herd of sheep,A dog is scattering a pack of white sheep on a dusty farm,3.6
6403,A sheepdog is grouping a herd of sheep,A dog is herding a pack of white sheep on a dusty farm,4.1
6404,"The male, who is dark skinned, is standing on one hand in front of a yellow building",The dark skinned male is standing on one hand in front of a yellow building,5
6405,The dark skinned male is standing on one hand in front of a yellow building,The dark skinned male is not standing on one hand in front of a yellow building,4
6406,A yellow palm is in front of a building and one dark skinned male is standing next to it,The dark skinned male is standing on one hand in front of a yellow building,3.2
6407,A black man is skillfully break dancing on the pavement,A black man is break dancing on the pavement,4.7
6408,A black man is break dancing on the pavement,A black man is walking on the pavement,3.3
6409,The dark skinned male is standing on one hand in front of a yellow building,A black man is skillfully break dancing on the pavement,2.3
6410,A black man is walking on the pavement,The dark skinned male is standing on one hand in front of a yellow building,2.8
6411,"The male, who is dark skinned, is standing on one hand in front of a yellow building",A black man is break dancing on the pavement,2.7
6412,The dark skinned male is not standing on one hand in front of a yellow building,A black man is break dancing on the pavement,3
6413,A black man is break dancing on the pavement,A yellow palm is in front of a building and one dark skinned male is standing next to it,2
6414,A black man is break dancing on the pavement,The dark skinned male is standing on one hand in front of a yellow building,3.9
6415,A bike is being ridden by a person,A person is riding a bike,5
6416,There is no person riding a bike,A person is riding a bike,3.7
6417,"A person who rides bikes, in a black and red uniform, is standing on a dirt bike",A bike rider in a black and red uniform is standing on a dirt bike,4.8
6418,A bike rider in a black and red uniform is standing on a dirt bike,A bike rider in a black and red uniform is jumping down off a dirt bike,3.9
6419,A bike rider in a black and red uniform is standing on a dirt bike,A black bike rider in a red bike uniform is standing in the dirt,3.7
6420,A person is riding a bike,"A person who rides bikes, in a black and red uniform, is standing on a dirt bike",3
6421,A bike rider in a black and red uniform is jumping down off a dirt bike,A person is riding a bike,3.8
6422,A person is riding a bike,A black bike rider in a red bike uniform is standing in the dirt,2.7
6423,A bike is being ridden by a person,A bike rider in a black and red uniform is standing on a dirt bike,3.4
6424,There is no person riding a bike,A bike rider in a black and red uniform is standing on a dirt bike,3.5
6425,A person is riding a bike,A bike rider in a black and red uniform is standing on a dirt bike,3.4
6426,A man in a purple suit is standing by a purple case and is playing a guitar,A man in a purple colored suit is standing by a purple case and is playing a guitar,4.9
6427,A man in a purple suit is standing by a purple case and is playing a guitar,There is no man in a purple suit standing by a purple case and playing a guitar,3.6
6428,"The guitar is being played by the man, who has the guitar case open for donations",The man is playing the guitar and has the guitar case open for donations,5
6429,The man is playing the guitar and has the guitar case open for donations,The man is putting away the guitar in the guitar case,2.9
6430,The man is playing the guitar and has the guitar case open for donations,The man is opening the guitar for donations and plays with the case,2.7
6431,"The guitar is being played by the man, who has the guitar case open for donations",A man in a purple suit is standing by a purple case and is playing a guitar,3.4
6432,A man in a purple suit is standing by a purple case and is playing a guitar,The man is putting away the guitar in the guitar case,3.4
6433,A man in a purple suit is standing by a purple case and is playing a guitar,The man is opening the guitar for donations and plays with the case,3.1
6434,A man in a purple colored suit is standing by a purple case and is playing a guitar,The man is playing the guitar and has the guitar case open for donations,3.7
6435,The man is playing the guitar and has the guitar case open for donations,There is no man in a purple suit standing by a purple case and playing a guitar,3.4
6436,A man in a purple suit is standing by a purple case and is playing a guitar,The man is playing the guitar and has the guitar case open for donations,4.1
6437,Two adults are sitting in the chairs and are watching the ocean,Some adults are sitting in the chairs and are watching the ocean,4.7
6438,Nobody is sitting in the chairs and watching the ocean,Two adults are sitting in the chairs and are watching the ocean,4.1
6439,A couple is sitting on a patio and is staring at the ocean,A couple is sitting on a patio and looking at the ocean,4.7
6440,A couple is standing on a patio and looking at the sky,A couple is sitting on a patio and looking at the ocean,3.1
6441,A couple is sitting on a patio and is staring at the ocean,Two adults are sitting in the chairs and are watching the ocean,3.5
6442,A couple is standing on a patio and looking at the sky,Two adults are sitting in the chairs and are watching the ocean,2.3
6443,A couple is sitting on a patio and looking at the ocean,Some adults are sitting in the chairs and are watching the ocean,4
6444,Nobody is sitting in the chairs and watching the ocean,A couple is sitting on a patio and looking at the ocean,3
6445,A couple is sitting on a patio and looking at the ocean,Two adults are sitting in the chairs and are watching the ocean,3.5
6446,"A small boy in a shirt, which is yellow, is laughing on the beach",A small boy in a yellow shirt is laughing on the beach,5
6447,A small boy in a yellow shirt is laughing on the beach,There is no small boy in a yellow shirt laughing on the beach,2.3
6448,The little boy is wearing a yellow tank top and is laughing,A little boy is wearing a yellow tank top and is laughing,5
6449,A little boy is wearing a yellow tank top and is laughing,A little boy is topless and is serious,2.7
6450,A little boy is wearing a yellow tank top and is laughing,A laughing boy is in a yellow tank and is wearing a top,3.5
6451,A small boy in a yellow shirt is laughing on the beach,The little boy is wearing a yellow tank top and is laughing,3.8
6452,A small boy in a yellow shirt is laughing on the beach,A little boy is topless and is serious,2.6
6453,A small boy in a yellow shirt is laughing on the beach,A laughing boy is in a yellow tank and is wearing a top,3.1
6454,"A small boy in a shirt, which is yellow, is laughing on the beach",A little boy is wearing a yellow tank top and is laughing,4.265
6455,A little boy is wearing a yellow tank top and is laughing,There is no small boy in a yellow shirt laughing on the beach,3.6
6456,A little boy is wearing a yellow tank top and is laughing,A small boy in a yellow shirt is laughing on the beach,4.1
6457,The orange rescue boat is rushing across the water,"The rescue boat, which is orange, is rushing across the water",5
6458,The orange rescue boat is not rushing across the water,The orange rescue boat is rushing across the water,3.2
6459,Two men are riding an orange raft on the beach,Two men are riding an orange raft on the shore,4.33
6460,Two men are riding an orange raft on the shore,Two men are getting off of an orange raft on the shore,4.2
6461,Two men are riding an orange raft on the shore,Two men are rafting near a rider in orange on the shore,3.6
6462,The orange rescue boat is rushing across the water,Two men are riding an orange raft on the beach,3.4
6463,Two men are getting off of an orange raft on the shore,The orange rescue boat is rushing across the water,3
6464,The orange rescue boat is rushing across the water,Two men are rafting near a rider in orange on the shore,2.5
6465,Two men are riding an orange raft on the shore,"The rescue boat, which is orange, is rushing across the water",3.5
6466,Two men are riding an orange raft on the shore,The orange rescue boat is not rushing across the water,3
6467,Two men are riding an orange raft on the shore,The orange rescue boat is rushing across the water,3.4
6468,A dog with really long hair and a red vest is running in the grass,A dog with long hair and a red vest is running in the grass,4.7
6469,A dog with long hair and a red vest is sitting in the grass,A dog with long hair and a red vest is running in the grass,4.1
6470,The dog in the dyed red vest is running in the field,The dog in the red vest is running in the field,4.5
6471,The dog in the red vest is not running in the field,The dog in the red vest is running in the field,3.7
6472,The dog in the dyed red vest is running in the field,A dog with long hair and a red vest is running in the grass,4
6473,A dog with long hair and a red vest is running in the grass,The dog in the red vest is not running in the field,3.9
6474,A dog with really long hair and a red vest is running in the grass,The dog in the red vest is running in the field,4.3
6475,The dog in the red vest is running in the field,A dog with long hair and a red vest is sitting in the grass,3.6
6476,A dog with long hair and a red vest is running in the grass,The dog in the red vest is running in the field,4.3
6477,A person is standing in a vast field of glacial ice,One person is standing in a vast field of glacial ice,4.8
6478,A person is standing in a vast field of glacial ice,There is no person standing in a vast field of glacial ice,3.1
6479,The person is standing dangerously on white ice,The person is standing on white ice,4.3
6480,The person is not standing on white ice,The person is standing on white ice,3.6
6481,The person is standing dangerously on white ice,A person is standing in a vast field of glacial ice,4
6482,The person is not standing on white ice,A person is standing in a vast field of glacial ice,3.1
6483,One person is standing in a vast field of glacial ice,The person is standing on white ice,4
6484,The person is standing on white ice,There is no person standing in a vast field of glacial ice,3.6
6485,A person is standing in a vast field of glacial ice,The person is standing on white ice,4.4
6486,A blond boy is sliding down a dune of sand on a skateboard,A blond boy is sliding down a sand dune on a skateboard,4.9
6487,A blond boy is walking up a sand dune with a skateboard,A blond boy is sliding down a sand dune on a skateboard,3.5
6488,A woman is swiftly snowboarding down an incline and another woman is standing behind her,A woman is snowboarding down an incline and another woman is standing behind her,4.9
6489,A woman is snowboarding down an incline and another woman is standing behind her,There is no woman snowboarding down an incline and there is no other woman standing behind her,4.3
6490,A blond boy is sliding down a sand dune on a skateboard,A woman is swiftly snowboarding down an incline and another woman is standing behind her,1.6
6491,A blond boy is sliding down a sand dune on a skateboard,There is no woman snowboarding down an incline and there is no other woman standing behind her,2
6492,A blond boy is sliding down a dune of sand on a skateboard,A woman is snowboarding down an incline and another woman is standing behind her,1.9
6493,A woman is snowboarding down an incline and another woman is standing behind her,A blond boy is walking up a sand dune with a skateboard,1.3
6494,A woman is snowboarding down an incline and another woman is standing behind her,A blond boy is sliding down a sand dune on a skateboard,1.1
6495,The man is taking a picture of himself and another guy,A picture of himself and another guy is being taken by the man,4.4
6496,The man is not taking a picture of himself and another guy,The man is taking a picture of himself and another guy,3.7
6497,A man is holding up an electronic device,A person is holding up an electronic device,4.5
6498,A man is putting down an electronic device,A man is holding up an electronic device,4.2
6499,An electronic man is held as a device,A man is holding up an electronic device,2.5
6500,The man is taking a picture of himself and another guy,A person is holding up an electronic device,3.1
6501,A man is putting down an electronic device,The man is taking a picture of himself and another guy,1.9
6502,The man is taking a picture of himself and another guy,An electronic man is held as a device,1.9
6503,A picture of himself and another guy is being taken by the man,A man is holding up an electronic device,2.2
6504,A man is holding up an electronic device,The man is not taking a picture of himself and another guy,2.185
6505,The man is taking a picture of himself and another guy,A man is holding up an electronic device,3.4
6506,A little black dog is chasing a little brown dog,"A dog, which is little and black, is chasing a little brown dog",4.8
6507,A little black dog is chasing a little brown dog,There is no little black dog chasing a little brown dog,4.2
6508,The brown dog and the black dog are in the grass,A brown dog and a black dog are in the grass,4.9
6509,A brown dog and a black dog are far from the grass,A brown dog and a black dog are in the grass,4.2
6510,The brown dog and the black dog are in the grass,A little black dog is chasing a little brown dog,3.2
6511,A brown dog and a black dog are far from the grass,A little black dog is chasing a little brown dog,2.5
6512,"A dog, which is little and black, is chasing a little brown dog",A brown dog and a black dog are in the grass,4
6513,There is no little black dog chasing a little brown dog,A brown dog and a black dog are in the grass,3.3
6514,A little black dog is chasing a little brown dog,A brown dog and a black dog are in the grass,3.4
6515,A girl in a brown dress is being surrounded by children and is closing her eyes,Children are surrounding a girl in a brown dress who is closing her eyes,4.8
6516,A girl in a brown dress is being surrounded by children and is closing her eyes,There is no girl in a brown dress being surrounded by children and closing her eyes,3.7
6517,A girl is surrounding brown dressed children who are closing the eyes,A girl in a brown dress is being surrounded by children and is closing her eyes,3.9
6518,The sun is shining on the face of the girl who is in the dyed yellow dress,The sun is shining on the face of the girl who is in a yellow dress,4.8
6519,The sun is not shining on the face of the girl who is in a yellow dress,The sun is shining on the face of the girl who is in a yellow dress,4.2
6520,A girl in a brown dress is being surrounded by children and is closing her eyes,The sun is shining on the face of the girl who is in the dyed yellow dress,2.7
6521,A girl in a brown dress is being surrounded by children and is closing her eyes,The sun is not shining on the face of the girl who is in a yellow dress,1.9
6522,The sun is shining on the face of the girl who is in a yellow dress,Children are surrounding a girl in a brown dress who is closing her eyes,1.8
6523,The sun is shining on the face of the girl who is in a yellow dress,There is no girl in a brown dress being surrounded by children and closing her eyes,2.1
6524,The sun is shining on the face of the girl who is in a yellow dress,A girl is surrounding brown dressed children who are closing the eyes,1.9
6525,The sun is shining on the face of the girl who is in a yellow dress,A girl in a brown dress is being surrounded by children and is closing her eyes,2.5
6526,Women are wearing bunny ears and race numbers and are curiously pointing at something in the distance,Women are wearing bunny ears and race numbers and are pointing at something in the distance,4.7
6527,Women are not wearing bunny ears and race numbers and are not pointing at something in the distance,Women are wearing bunny ears and race numbers and are pointing at something in the distance,3.7
6528,A group of women are wearing pink bunny ears and are pointing to the right,Several women are wearing pink bunny ears and are pointing to the right,4.9
6529,Several women are wearing pink bunny ears and are pointing to the right,Several women are taking off pink bunny ears and are pointing to the left,3.6
6530,Several women are wearing pink bunny ears and are pointing to the right,The women are wearing something right and pointing at several bunny ears,3.3
6531,Women are wearing bunny ears and race numbers and are pointing at something in the distance,A group of women are wearing pink bunny ears and are pointing to the right,3.9
6532,Several women are taking off pink bunny ears and are pointing to the left,Women are wearing bunny ears and race numbers and are pointing at something in the distance,3.4
6533,Women are wearing bunny ears and race numbers and are pointing at something in the distance,The women are wearing something right and pointing at several bunny ears,2.915
6534,Women are wearing bunny ears and race numbers and are curiously pointing at something in the distance,Several women are wearing pink bunny ears and are pointing to the right,3.8
6535,Several women are wearing pink bunny ears and are pointing to the right,Women are not wearing bunny ears and race numbers and are not pointing at something in the distance,3.4
6536,Women are wearing bunny ears and race numbers and are pointing at something in the distance,Several women are wearing pink bunny ears and are pointing to the right,3.8
6537,The goal is being guarded by a hockey player in a yellow jersey,A hockey player in a yellow jersey is guarding the goal,4.9
6538,A hockey player in a yellow jersey is guarding the goal,There is no hockey player in a yellow jersey guarding the goal,3.3
6540,The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,The ice hockey goalkeeper is not wearing a yellow jersey and is not defending the goal,3.3
6541,The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,A hockey player in a yellow jersey is guarding the goal,4.535
6542,The ice hockey goalkeeper is not wearing a yellow jersey and is not defending the goal,A hockey player in a yellow jersey is guarding the goal,4.1
6543,The goal is being guarded by a hockey player in a yellow jersey,The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,4.9
6544,The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,There is no hockey player in a yellow jersey guarding the goal,4
6546,"A child, who looks young, is standing in front of some trees",A young child is standing in front of some trees,4.9
6547,There is no young child standing in front of some trees,A young child is standing in front of some trees,3.7
6548,The small boy is standing in the forest,A small boy is standing in the forest,5
6549,A small boy is standing in the forest,A small boy is sitting in the forest,3.5
6550,The small boy is standing in the forest,A young child is standing in front of some trees,4
6551,A young child is standing in front of some trees,A small boy is sitting in the forest,2.8
6552,"A child, who looks young, is standing in front of some trees",A small boy is standing in the forest,3.6
6553,A small boy is standing in the forest,There is no young child standing in front of some trees,3.4
6554,A small boy is standing in the forest,A young child is standing in front of some trees,3.7
6555,Two people are looking at a statue made of gold,Two people are looking at a gold statue,4.5
6556,Two people are looking at a gold statue,Two people are ignoring the nearby gold statue,3.6
6557,Two young men are cheerfully playing outside near a golden statue,Two young men are playing outside near a golden statue,4.4
6558,Two young men are sitting outside near a golden statue,Two young men are playing outside near a golden statue,3.7
6559,Two young men are cheerfully playing outside near a golden statue,Two people are looking at a gold statue,3.2
6560,Two young men are sitting outside near a golden statue,Two people are looking at a gold statue,4
6561,Two young men are playing outside near a golden statue,Two people are looking at a statue made of gold,3.6
6562,Two young men are playing outside near a golden statue,Two people are ignoring the nearby gold statue,3.2
6563,Two people are looking at a gold statue,Two young men are playing outside near a golden statue,3.3
6564,The bicyclist is speeding on a city street,The bicyclist is riding on a city street,3.9
6565,The bicyclist is riding on a city street,The bicyclist is not riding on a city street,4.2
6566,The woman is wearing a blue helmet and is riding a bicycle in a parking lot,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,5
6567,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,There is no woman wearing a blue helmet and riding a bicycle in a parking lot,2.5
6568,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,A woman is parking a blue bicycle and is wearing lots of riding helmets,3.1
6569,The woman is wearing a blue helmet and is riding a bicycle in a parking lot,The bicyclist is riding on a city street,2.615
6570,There is no woman wearing a blue helmet and riding a bicycle in a parking lot,The bicyclist is riding on a city street,2.75
6571,The bicyclist is riding on a city street,A woman is parking a blue bicycle and is wearing lots of riding helmets,2.4
6572,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,The bicyclist is speeding on a city street,3.2
6573,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,The bicyclist is not riding on a city street,3.3
6574,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,The bicyclist is riding on a city street,3.2
6575,"A pet dog is standing on the bank and is looking at another dog, which is brown, in the pond",A pet dog is standing on the bank and is looking at another brown dog in the pond,4.7
6576,A pet dog is standing on the bank and is looking at another brown dog in the pond,There is no pet dog standing on the bank and looking at another brown dog in the pond,4.5
6578,The tan dog is watching a brown dog that is swimming in a pond,The tan dog is not watching a brown dog that is swimming in a pond,3.7
6579,The tan dog is watching a brown dog that is swimming in a pond,A pet dog is standing on the bank and is looking at another brown dog in the pond,4.3
6580,The tan dog is not watching a brown dog that is swimming in a pond,A pet dog is standing on the bank and is looking at another brown dog in the pond,3.3
6581,The tan dog is watching a brown dog that is swimming in a pond,"A pet dog is standing on the bank and is looking at another dog, which is brown, in the pond",3.8
6582,The tan dog is watching a brown dog that is swimming in a pond,There is no pet dog standing on the bank and looking at another brown dog in the pond,2.5
6583,A pet dog is standing on the bank and is looking at another brown dog in the pond,The tan dog is watching a brown dog that is swimming in a pond,3.6
6584,A young female is dancing,A young girl is dancing,4.7
6585,A young girl is dancing,A young girl is standing still,3
6586,A young girl is standing challengingly on one leg,A young girl is standing on one leg,4.2
6587,A young girl is standing on one leg,A young girl is standing on both legs,4
6588,A young girl is dancing,A young girl is standing challengingly on one leg,2.9
6589,A young girl is dancing,A young girl is standing on both legs,3.2
6590,A young girl is standing on one leg,A young female is dancing,3.3
6591,A young girl is standing on one leg,A young girl is standing still,4
6592,A young girl is standing on one leg,A young girl is dancing,2.7
6593,A bee is clinging to a yellow flower,A yellow flower is being clung to by a bee,4.6
6594,A bee is taking off from a yellow flower,A bee is clinging to a yellow flower,3.4
6595,The small bee is landing on a bunch of yellow flowers,A small bee is landing on a bunch of yellow flowers,4.9
6596,A small bee is landing on a bunch of yellow flowers,There is no small bee landing on a bunch of yellow flowers,3.7
6597,The small bee is landing on a bunch of yellow flowers,A bee is clinging to a yellow flower,3.6
6598,A bee is clinging to a yellow flower,There is no small bee landing on a bunch of yellow flowers,3.9
6599,A small bee is landing on a bunch of yellow flowers,A yellow flower is being clung to by a bee,3.8
6600,A bee is taking off from a yellow flower,A small bee is landing on a bunch of yellow flowers,2.6
6601,A small bee is landing on a bunch of yellow flowers,A bee is clinging to a yellow flower,3.985
6602,Some people are treading through the snow of the landscape which is beautiful and snowy,Some people are treading through the snow of the beautiful snowy landscape,5
6603,Nobody is treading through the snow of the beautiful snowy landscape,Some people are treading through the snow of the beautiful snowy landscape,3.7
6604,Four people are difficultly walking with difficulty across thick snow and the sun is setting,Four people are walking across thick snow and the sun is setting,4.6
6605,Four people are walking across thick snow and the sun is setting,Four people are standing in thick snow and the sun is rising,3.5
6606,Four people are difficultly walking with difficulty across thick snow and the sun is setting,Some people are treading through the snow of the beautiful snowy landscape,3.3
6607,Some people are treading through the snow of the beautiful snowy landscape,Four people are standing in thick snow and the sun is rising,2.9
6608,Four people are walking across thick snow and the sun is setting,Some people are treading through the snow of the landscape which is beautiful and snowy,3.9
6609,Four people are walking across thick snow and the sun is setting,Nobody is treading through the snow of the beautiful snowy landscape,3.3
6610,Four people are walking across thick snow and the sun is setting,Some people are treading through the snow of the beautiful snowy landscape,3.9
6611,The young boys are posing with a green soccer ball in a park,The young kids are posing with a green soccer ball in a park,4.2
6612,The young boys are not posing with a green soccer ball in a park,The young boys are posing with a green soccer ball in a park,3.5
6613,Four boys are kneeling next to each other in front of a ball,Some boys are kneeling next to each other in front of a ball,4.5
6614,Four boys are kneeling next to each other in front of a ball,There are no boys kneeling next to each other in front of a ball,4.3
6615,Some boys are kneeling next to each other in front of a ball,The young boys are posing with a green soccer ball in a park,3.9
6616,There are no boys kneeling next to each other in front of a ball,The young boys are posing with a green soccer ball in a park,2.9
6617,The young kids are posing with a green soccer ball in a park,Four boys are kneeling next to each other in front of a ball,2.9
6618,Four boys are kneeling next to each other in front of a ball,The young boys are not posing with a green soccer ball in a park,3
6619,The young boys are posing with a green soccer ball in a park,Four boys are kneeling next to each other in front of a ball,3.5
6620,A tan dog is running through the brush,"A dog, which is tan, is running through the brush",5
6621,A tan dog is resting near a brush,A tan dog is running through the brush,4
6622,A white dog with beige spots is running through a field,A white dog with beige spots is speeding through a field,4.7
6623,There is no white dog with beige spots running through a field,A white dog with beige spots is running through a field,3.6
6624,A tan dog is running through the brush,A white dog with beige spots is speeding through a field,3.1
6625,There is no white dog with beige spots running through a field,A tan dog is running through the brush,2.7
6626,A white dog with beige spots is running through a field,"A dog, which is tan, is running through the brush",2.9
6627,A white dog with beige spots is running through a field,A tan dog is resting near a brush,3.1
6628,A white dog with beige spots is running through a field,A tan dog is running through the brush,3
6629,A horse and its rider are leaping quickly over a barrier,A horse and its rider are leaping over a barrier,4.4
6630,A horse and its rider are leaping over a barrier,A horse and its rider are not leaping over a barrier,3.8
6631,A horse and its rider are leaping over a barrier,The horse is leaping over the rider at the barrier,3.5
6632,A hurdle is being leapt by a horse that has a rider on its back,A horse is leaping a hurdle and has a rider on its back,4.9
6633,A horse is leaping a hurdle and has a rider on its back,A horse with no rider is falling over a hurdle,2.8
6634,A hurdle is being leapt by a horse that has a rider on its back,A horse and its rider are leaping over a barrier,4.5
6635,A horse with no rider is falling over a hurdle,A horse and its rider are leaping over a barrier,3.1
6636,A horse is leaping a hurdle and has a rider on its back,A horse and its rider are leaping quickly over a barrier,4.4
6637,A horse and its rider are not leaping over a barrier,A horse is leaping a hurdle and has a rider on its back,4.6
6638,A horse is leaping a hurdle and has a rider on its back,The horse is leaping over the rider at the barrier,3.1
6639,A horse is leaping a hurdle and has a rider on its back,A horse and its rider are leaping over a barrier,4.6
6640,Some football players in red and white are jumping and hugging,Football players in red and white are jumping and hugging each other,4.8
6641,Football players in red and white are jumping and hugging each other,There are no football players in red and white jumping and hugging each other,3.885
6642,Two teammates are lifting a football player in a red and white uniform,A football player in a red and white uniform is being lifted by two teammates,4.9
6643,A football player in a red and white uniform is being lifted by two teammates,A football player in a red and white uniform is being pulled down by two teammates,3.2
6644,Two teammates are lifting a football player in a red and white uniform,Football players in red and white are jumping and hugging each other,3.7
6645,Football players in red and white are jumping and hugging each other,A football player in a red and white uniform is being pulled down by two teammates,3.8
6646,A football player in a red and white uniform is being lifted by two teammates,Some football players in red and white are jumping and hugging,3.7
6647,A football player in a red and white uniform is being lifted by two teammates,There are no football players in red and white jumping and hugging each other,3.3
6648,Football players in red and white are jumping and hugging each other,A football player in a red and white uniform is being lifted by two teammates,3.8
6649,Two teenage girls are wearing fancy dresses at an event,Two girls in their teens are wearing fancy dresses at an event,4.8
6650,Two teenage girls are wearing fancy dresses at an event,Two old ladies are wearing worn dresses at home,2.8
6651,A woman in a white dress and a woman in a blue dress are standing on a stage,A woman in white clothing and a woman in a blue dress are standing on a stage,4.9
6652,A woman in a white dress and a woman in a blue dress are standing beside a stage,A woman in a white dress and a woman in a blue dress are standing on a stage,4.1
6653,A white woman is standing on a woman dressed in blue on a stage,A woman in a white dress and a woman in a blue dress are standing on a stage,3.7
6654,Two teenage girls are wearing fancy dresses at an event,A woman in white clothing and a woman in a blue dress are standing on a stage,2.15
6655,Two teenage girls are wearing fancy dresses at an event,A woman in a white dress and a woman in a blue dress are standing beside a stage,3.65
6656,A white woman is standing on a woman dressed in blue on a stage,Two teenage girls are wearing fancy dresses at an event,1.6
6657,A woman in a white dress and a woman in a blue dress are standing on a stage,Two girls in their teens are wearing fancy dresses at an event,2.6
6658,Two old ladies are wearing worn dresses at home,A woman in a white dress and a woman in a blue dress are standing on a stage,2.6
6659,A woman in a white dress and a woman in a blue dress are standing on a stage,Two teenage girls are wearing fancy dresses at an event,2.3
6660,Two women with black hair are standing steadily in front of a plywood wall,Two women with black hair are standing in front of a plywood wall,4.565
6661,There is no woman with black hair standing in front of a plywood wall,Two women with black hair are standing in front of a plywood wall,3.6
6662,"Two women with folded arms, who are young, are looking at the screen",Two young women with folded arms are looking at the screen,5
6663,Two young women with folded arms are looking away from the screen,Two young women with folded arms are looking at the screen,3.7
6664,"Two women with folded arms, who are young, are looking at the screen",Two women with black hair are standing in front of a plywood wall,2.5
6665,Two women with black hair are standing in front of a plywood wall,Two young women with folded arms are looking away from the screen,2
6666,Two women with black hair are standing steadily in front of a plywood wall,Two young women with folded arms are looking at the screen,2.5
6667,Two young women with folded arms are looking at the screen,There is no woman with black hair standing in front of a plywood wall,2.1
6668,Two young women with folded arms are looking at the screen,Two women with black hair are standing in front of a plywood wall,2.6
6669,A group of students in uniforms is listening attentively at the front of the class,Some students in uniforms are listening attentively at the front of the class,4.8
6670,A group of students in uniforms is listening attentively at the front of the class,A group of students in uniforms is ignoring the front of the class,3.2
6671,A classroom full of students is looking in the same direction inside a bamboo structure,A classroom full of students is looking attentively in the same direction inside a bamboo structure,4.8
6672,There is no classroom full of students looking in the same direction inside a bamboo structure,A classroom full of students is looking in the same direction inside a bamboo structure,3.6
6673,A classroom full of students is looking attentively in the same direction inside a bamboo structure,A group of students in uniforms is listening attentively at the front of the class,2.8
6674,There is no classroom full of students looking in the same direction inside a bamboo structure,A group of students in uniforms is listening attentively at the front of the class,2.6
6675,Some students in uniforms are listening attentively at the front of the class,A classroom full of students is looking in the same direction inside a bamboo structure,3
6676,A group of students in uniforms is ignoring the front of the class,A classroom full of students is looking in the same direction inside a bamboo structure,2.6
6677,A group of students in uniforms is listening attentively at the front of the class,A classroom full of students is looking in the same direction inside a bamboo structure,2.8
6678,A boy is jumping off a platform and two other boys are standing and watching,A boy is jumping off a platform and two other boys are standing and staring at him,4.8
6679,A boy is jumping off a platform and two other boys are standing and watching,A boy is jumping on a platform and two other boys are sitting absentmindedly,4
